CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;ITR;103514;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103514
00.000.000/0001-91;2021-06-30;1;BCO BRASIL S.A.;001023;ITR;107267;2021-08-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107267
00.000.000/0001-91;2021-09-30;1;BCO BRASIL S.A.;001023;ITR;109513;2021-11-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109513
00.000.208/0001-00;2021-03-31;1;BRB BCO DE BRASILIA S.A.;014206;ITR;103980;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103980
00.000.208/0001-00;2021-03-31;2;BRB BCO DE BRASILIA S.A.;014206;ITR;104654;2021-05-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104654
00.000.208/0001-00;2021-06-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;108074;2021-08-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108074
00.000.208/0001-00;2021-09-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;110180;2021-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110180
00.000.208/0001-00;2021-09-30;2;BRB BCO DE BRASILIA S.A.;014206;ITR;110290;2021-11-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110290
00.000.208/0001-00;2021-09-30;3;BRB BCO DE BRASILIA S.A.;014206;ITR;110316;2021-11-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110316
00.001.180/0001-26;2021-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;103954;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103954
00.001.180/0001-26;2021-03-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;105866;2021-06-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105866
00.001.180/0001-26;2021-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;107571;2021-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107571
00.001.180/0001-26;2021-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;110226;2021-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110226
00.070.698/0001-11;2021-03-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;ITR;104318;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104318
00.070.698/0001-11;2021-06-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;ITR;107845;2021-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107845
00.070.698/0001-11;2021-09-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;ITR;109988;2021-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109988
00.080.671/0001-00;2021-03-31;1;CARAMURU ALIMENTOS S.A.;026190;ITR;106005;2021-06-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106005
00.080.671/0001-00;2021-03-31;2;CARAMURU ALIMENTOS S.A.;026190;ITR;109007;2021-10-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109007
00.080.671/0001-00;2021-06-30;1;CARAMURU ALIMENTOS S.A.;026190;ITR;108391;2021-08-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108391
00.080.671/0001-00;2021-06-30;2;CARAMURU ALIMENTOS S.A.;026190;ITR;109008;2021-10-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109008
00.080.671/0001-00;2021-09-30;1;CARAMURU ALIMENTOS S.A.;026190;ITR;110026;2021-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110026
